날짜,한국은행기준금리, 반도체수출금액지수,말일종가,최고가(종가),최저가(종가),거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균,수출물가,공업제품,수입물가,원자재,중간재,최종재,WTI종가,WTI거래량,WTI변동률
201606월,1.25,100.66,"32,400","32,400","27,600","100,900,213","4,804,772","3,056,201,162,275","145,533,388,680",-4.9,-5.0,-4.9,-18.5,-1.8,4.7,48.33,10.42M,-1.57
201607월,1.25,96.49,"34,400","34,400","30,600","68,618,658","3,267,555","2,215,309,888,702","105,490,947,081",-7.4,-7.5,-7.1,-18.7,-4.6,0.6,41.6,9.34M,-13.93
201608월,1.25,107.01,"36,450","36,450","33,550","58,230,900","2,646,859","2,034,640,431,850","92,483,655,993",-9.7,-9.8,-8.4,-14.4,-7.5,-3.9,44.7,11.59M,7.45
201609월,1.25,109.03,"40,200","41,200","36,100","59,573,399","3,135,442","2,320,984,874,874","122,157,098,678",-8.3,-8.3,-7.7,-12.1,-7.0,-4.7,48.24,12.37M,7.92
201610월,1.25,107.3,"41,000","43,000","40,050","70,250,689","3,512,534","2,914,564,450,495","145,728,222,525",-1.4,-1.5,-0.6,2.7,-1.6,-1.0,46.86,10.82M,-2.86
201611월,1.25,110.76,"42,900","43,050","39,650","57,764,657","2,625,666","2,400,359,730,281","109,107,260,467",3.5,3.4,3.6,8.7,2.7,1.4,49.44,13.50M,5.51
201612월,1.25,111.43,"44,700","46,400","44,200","47,724,187","2,272,580","2,164,604,767,507","103,076,417,500",6.6,6.5,9.2,30.8,5.0,-0.2,53.72,10.64M,8.66
201701월,1.25,121.57,"53,700","53,700","45,800","66,028,116","3,301,406","3,303,515,642,160","165,175,782,108",7.4,7.4,13.3,50.6,7.2,-1.5,52.81,10.11M,-1.69
201702월,1.25,123.05,"46,700","54,600","46,000","96,199,499","4,809,975","4,822,041,021,155","241,102,051,058",5.1,5.1,9.2,43.0,3.7,-4.9,54.01,9.09M,2.27
201703월,1.25,143.26,"50,500","51,300","46,750","92,236,147","4,192,552","4,511,262,384,363","205,057,381,107",5.0,5.0,6.8,29.7,2.8,-3.7,50.6,12.60M,-6.31
201704월,1.25,136.52,"54,000","54,000","48,850","57,361,105","2,868,055","2,939,414,879,561","146,970,743,978",8.9,8.9,9.2,34.1,4.6,-1.7,49.33,9.72M,-2.51
201705월,1.25,144.04,"57,000","57,900","54,200","55,854,626","2,939,717","3,128,132,240,179","164,638,538,957",5.1,5.1,4.1,23.4,-0.1,-4.0,48.32,14.25M,-2.05
201706월,1.25,154.33,"67,400","69,200","56,100","84,375,124","4,017,863","5,261,505,894,001","250,547,899,714",4.7,4.6,2.0,16.2,-1.1,-3.8,46.04,15.23M,-4.72
201707월,1.25,151.45,"66,000","73,000","64,600","84,642,480","4,030,594","5,796,417,167,262","276,019,865,108",8.1,8.1,5.5,21.4,2.3,-1.6,50.17,14.57M,8.97
201708월,1.25,168.2,"68,600","68,600","61,400","79,731,292","3,624,150","5,243,503,782,868","238,341,081,039",10.8,10.8,9.1,25.2,6.4,0.6,47.23,17.17M,-5.86
201709월,1.25,186.31,"82,900","86,300","68,100","94,451,167","4,497,675","7,406,941,236,780","352,711,487,466",11.2,11.1,10.8,27.2,8.5,1.0,51.67,12.24M,9.4
201710월,1.25,182.32,"82,200","89,100","78,400","104,818,632","6,551,165","8,682,404,362,940","542,650,272,684",8.1,8.1,6.8,14.2,6.6,-0.2,54.38,11.95M,5.24
201711월,1.50,183.87,"76,800","86,800","76,800","91,024,533","4,137,479","7,546,601,312,740","343,027,332,397",2.5,2.5,4.0,15.9,1.8,-3.1,57.4,12.53M,5.55
201712월,1.50,186.44,"76,500","80,200","74,000","79,588,034","4,188,844","6,162,919,369,801","324,364,177,358",-2.0,-2.1,-0.9,3.8,-1.9,-4.0,60.42,9.49M,5.26
201801월,1.50,185.53,"73,500","79,300","71,100","100,383,902","4,562,905","7,477,411,939,873","339,882,360,903",-3.7,-3.7,-2.4,4.1,-4.5,-5.3,64.73,12.77M,7.13
201802월,1.50,171.62,"76,800","78,700","70,200","70,480,039","3,915,558","5,263,892,676,854","292,438,482,047",-1.3,-1.3,0.4,5.1,-1.0,-1.8,61.64,11.99M,-4.77
201803월,1.50,207.76,"81,300","90,700","77,400","100,047,412","4,764,162","8,481,783,614,293","403,894,457,823",-1.4,-1.4,3.2,9.4,2.2,-1.6,64.94,12.38M,5.35
201804월,1.50,187.7,"84,500","87,900","80,300","84,452,872","4,021,565","7,042,729,657,158","335,368,078,912",-2.0,-2.0,3.7,10.9,2.8,-2.6,68.57,12.71M,5.59
201805월,1.50,207.97,"93,400","95,300","82,900","69,491,798","3,474,590","6,219,018,199,076","310,950,909,954",0.4,0.5,8.1,19.6,6.7,-2.3,67.04,15.04M,-2.23
201806월,1.50,214.94,"85,700","91,400","83,500","69,184,335","3,641,281","6,025,328,487,527","317,122,551,975",1.4,1.5,10.9,26.3,8.8,-1.7,74.15,12.86M,10.61
201807월,1.50,197.78,"86,300","90,300","80,500","69,910,321","3,177,742","5,980,290,400,217","271,831,381,828",2.8,2.8,11.9,27.0,10.0,-0.6,68.76,10.91M,-7.27
201808월,1.50,218.72,"83,000","85,600","74,500","81,485,543","3,703,888","6,457,051,919,405","293,502,359,973",2.2,2.3,10.0,22.8,8.3,-1.1,69.8,10.42M,1.51
201809월,1.50,244.59,"73,100","81,200","73,100","69,483,962","4,087,292","5,331,101,666,775","313,594,215,693",1.3,1.3,9.6,24.8,6.5,-1.3,73.25,10.09M,4.94
201810월,1.50,227.06,"68,200","73,700","64,700","88,033,736","4,192,083","6,092,339,825,174","290,111,420,246",1.1,1.1,10.9,27.7,6.8,-0.2,65.31,13.04M,-10.84
201811월,1.75,207.66,"69,600","74,500","67,500","67,714,126","3,077,915","4,782,892,605,323","217,404,209,333",0.6,0.7,5.9,13.1,3.8,1.0,50.93,15.12M,-22.02
201812월,1.75,171.67,"60,500","70,500","58,600","59,984,599","3,157,084","3,810,321,395,235","200,543,231,328",-0.7,-0.7,2.7,5.2,1.6,1.6,45.41,12.16M,-10.84
201901월,1.75,145.08,"73,900","75,900","57,700","84,140,179","3,824,554","5,619,350,040,414","255,425,001,837",-1.8,-1.8,1.7,2.3,0.5,3.1,53.79,14.02M,18.45
201902월,1.75,132.76,"70,000","77,400","70,000","54,567,361","3,209,845","4,072,707,797,080","239,571,046,887",-2.6,-2.6,3.5,8.5,1.1,1.4,57.22,10.55M,6.38
