날짜,한국은행기준금리, 반도체수출금액지수,말일종가,최고가(종가),최저가(종가),거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균,수출물가,공업제품,수입물가,원자재,중간재,최종재,WTI종가,WTI거래량,WTI변동률
200603월,4.00,48.74,,,,,,,,-9.3,-9.3,0.0,22.6,-8.0,-7.0,66.63,2.30M,8.5
200604월,4.00,47.29,,,,,,,,-9.8,-9.8,0.2,21.7,-7.4,-8.6,71.88,2.07M,7.88
200605월,4.00,50,,,,,,,,-7.2,-7.2,4.4,28.2,-3.3,-7.4,71.29,2.46M,-0.82
200606월,4.25,48.78,,,,,,,,-6.2,-6.2,3.8,20.3,-1.7,-6.1,73.93,2.28M,3.7
200607월,4.25,49.71,,,,,,,,-8.3,-8.3,2.5,17.8,-2.6,-7.4,74.4,1.82M,0.64
200608월,4.50,53.08,,,,,,,,-5.4,-5.4,3.4,14.8,-0.2,-5.7,70.26,2.05M,-5.56
200609월,4.50,56.51,,,,,,,,-7.0,-6.9,-1.6,2.9,-2.4,-7.4,62.91,2.40M,-10.46
200610월,4.50,58.08,,,,,,,,-8.6,-8.6,-2.3,0.7,-2.2,-8.5,58.73,3.33M,-6.64
200611월,4.50,65.26,,,,,,,,-8.5,-8.5,-1.7,2.7,-2.1,-8.5,63.13,3.70M,7.49
200612월,4.50,63.45,,,,,,,,-7.5,-7.6,-0.6,2.7,-0.3,-7.6,61.05,3.22M,-3.29
200701월,4.50,69.29,,,,,,,,-5.7,-5.7,-1.4,-6.6,2.6,-4.4,58.14,4.94M,-4.77
200702월,4.50,59.7,,,,,,,,-4.2,-4.2,1.6,-2.4,5.1,-2.6,61.79,4.78M,6.28
200703월,4.50,61.95,,,,,,,,-3.3,-3.4,4.5,1.3,8.1,-1.6,65.87,4.75M,6.6
200704월,4.50,55.01,,,,,,,,-1.9,-1.9,4.2,0.6,7.8,-0.7,65.71,4.11M,-0.24
200705월,4.50,55.87,,,,,,,,-1.4,-1.5,2.8,-0.5,6.1,-1.7,64.01,4.71M,-2.59
200706월,4.50,61.52,,,,,,,,-2.7,-2.8,1.6,-0.5,4.0,-2.4,70.68,4.42M,10.42
200707월,4.75,65.65,,,,,,,,-2.6,-2.7,0.1,-0.8,1.6,-2.9,78.21,4.25M,10.65
200708월,5.00,68.42,,,,,,,,-3.4,-3.4,-0.7,-2.2,0.6,-1.9,74.04,4.98M,-5.33
200709월,5.00,62.89,,,,,,,,-2.6,-2.7,5.2,12.9,2.3,-0.5,81.66,4.78M,10.29
200710월,5.00,64.95,,,,,,,,-2.5,-2.6,7.5,20.5,2.4,-0.7,94.53,6.02M,15.76
200711월,5.00,67.11,,,,,,,,1.8,1.7,13.7,32.0,6.4,2.5,88.71,6.16M,-6.16
200712월,5.00,59.02,,,,,,,,3.4,3.4,15.5,33.4,8.2,4.8,95.98,4.25M,8.2
200801월,5.00,55.14,,,,,,,,5.8,5.7,21.2,48.7,10.6,6.1,91.75,5.46M,-4.41
200802월,5.00,50.64,,,,,,,,7.5,7.5,22.2,49.4,11.8,6.6,101.84,5.14M,11
200803월,5.00,57.48,,,,,,,,13.4,13.3,28.0,56.4,16.8,11.6,101.58,5.99M,-0.26
200804월,5.00,55.09,,,,,,,,15.7,15.7,31.3,58.6,20.4,13.2,113.46,5.63M,11.7
200805월,5.00,59.64,,,,,,,,23.9,23.9,44.6,83.6,28.8,18.5,127.35,6.80M,12.24
200806월,5.00,62.53,,,,,,,,25.2,25.1,48.9,92.6,31.3,17.6,140,6.23M,9.93
200807월,5.00,61.06,,,,,,,,25.1,25.1,50.6,89.9,34.8,17.9,124.08,5.83M,-11.37
200808월,5.25,59.42,,,,,,,,21.9,21.9,42.6,73.2,30.9,16.2,115.46,5.46M,-6.95
200809월,5.25,56.43,,,,,,,,27.4,27.3,42.6,59.1,36.9,24.1,100.64,5.66M,-12.84
200810월,4.25,47.7,,,,,,,,38.6,38.6,47.1,47.2,47.3,46.0,67.81,5.69M,-32.62
200811월,4.00,37.08,,,,,,,,31.5,31.5,32.0,15.6,39.3,48.3,54.43,4.52M,-19.73
200812월,3.00,28.73,,,,,,,,25.0,25.1,22.4,0.4,31.8,45.6,44.6,4.47M,-18.06
200901월,2.50,28.86,,,,,,,,18.6,18.6,16.7,-3.5,24.7,41.1,41.68,5.13M,-6.55
200902월,2.00,29.63,,,,,,,,22.9,22.9,18.0,-5.5,27.6,47.1,44.76,4.86M,7.39
200903월,2.00,35.17,,,,,,,,17.4,17.5,10.6,-10.7,18.8,39.6,49.66,5.17M,10.95
200904월,2.00,41.27,,,,,,,,7.7,7.7,-1.8,-21.8,5.8,29.1,51.12,4.69M,2.94
200905월,2.00,46.82,,,,,,,,-4.1,-4.1,-13.9,-32.4,-6.4,18.1,66.31,5.04M,29.71
200906월,2.00,48.62,,,,,,,,-3.3,-3.4,-11.9,-29.0,-4.6,19.9,69.89,5.60M,5.4
200907월,2.00,51.86,,,,,,,,-2.7,-2.8,-12.9,-32.2,-3.9,21.6,69.45,5.91M,-0.63
200908월,2.00,55.29,,,,,,,,-1.1,-1.2,-7.0,-21.9,-0.9,18.4,69.96,5.72M,0.73
200909월,2.00,61.99,,,,,,,,-7.2,-7.2,-10.9,-22.5,-7.2,10.0,70.61,5.75M,0.93
200910월,2.00,68.46,,,,,,,,-16.5,-16.5,-15.3,-16.9,-16.2,-8.0,77,6.92M,9.05
200911월,2.00,66.44,,,,,,,,-13.4,-13.4,-7.5,2.3,-12.2,-11.6,77.28,6.45M,0.36
200912월,2.00,66.99,,,,,,,,-8.6,-8.7,-1.4,15.2,-7.6,-11.2,79.36,5.66M,2.69
201001월,2.00,64.04,,,,,,,,-6.2,-6.3,-0.1,16.2,-5.9,-12.4,72.89,5.38M,-8.15
201002월,2.00,64.9,,,,,,,,-9.5,-9.5,-3.6,12.4,-9.1,-15.7,79.66,6.57M,9.29
201003월,2.00,77.95,,,,,,,,-11.3,-11.4,-4.0,12.0,-9.3,-17.3,83.76,6.52M,5.15
201004월,2.00,80.38,,,,,,,,-5.3,-5.5,5.0,25.0,-0.9,-12.4,86.15,7.25M,2.85
201005월,2.00,84.22,,,,,,,,1.6,1.5,11.3,26.6,7.2,-4.9,73.97,7.89M,-14.14
201006월,2.00,84.42,,,,,,,,2.6,2.5,8.4,15.0,7.1,-2.0,75.63,7.26M,2.24
201007월,2.25,88.15,,,,,,,,1.2,1.2,8.0,17.3,5.1,-2.3,78.95,6.21M,4.39
201008월,2.25,90.74,,,,,,,,-1.7,-1.8,5.7,13.4,2.9,-2.0,71.92,6.81M,-8.9
201009월,2.25,91.77,,,,,,,,-0.8,-0.9,7.7,17.5,4.4,-2.2,79.97,6.82M,11.19
201010월,2.25,87.48,,,,,,,,-0.7,-0.8,7.5,14.4,5.8,-1.7,81.43,6.45M,1.83
201011월,2.50,80.1,,,,,,,,-0.4,-0.5,7.5,12.2,7.2,-1.1,84.11,6.76M,3.29
201012월,2.50,81.67,,,,,,,,1.7,1.6,11.7,20.2,10.2,0.1,91.38,5.43M,8.64
201101월,2.75,79.06,"29,650","29,650","25,300","232,289,199","11,061,390","6,311,543,191,520","300,549,675,787",0.8,0.7,11.7,21.5,9.7,0.9,92.19,6.93M,0.89
201102월,2.75,70.04,"28,350","30,150","26,900","125,459,157","7,379,950","3,631,175,863,000","213,598,580,176",1.6,1.5,14.5,31.0,10.0,-0.5,96.97,6.10M,5.18
201103월,3.00,85.64,"31,300","31,550","27,550","221,844,506","10,083,841","6,478,479,539,100","294,476,342,686",5.1,5.0,17.7,33.4,13.5,1.9,106.72,6.87M,10.05
201104월,3.00,79.59,"33,800","37,000","31,300","210,649,495","10,030,928","7,108,979,460,000","338,522,831,429",3.4,3.3,17.4,34.8,11.4,1.5,113.93,5.62M,6.76
201105월,3.00,80,"30,100","34,600","29,500","151,998,195","7,599,910","4,904,970,815,940","245,248,540,797",-0.9,-0.9,11.7,26.1,6.9,-1.5,102.7,7.60M,-9.86
201106월,3.25,80.36,"25,050","28,900","24,650","236,066,809","11,241,277","6,354,361,623,460","302,588,648,736",-4.8,-4.9,8.6,24.5,3.2,-5.0,95.42,7.33M,-7.09
201107월,3.25,75.63,"24,250","28,000","22,950","224,682,584","10,699,171","5,636,399,829,110","268,399,991,862",-6.0,-6.1,7.6,25.4,1.6,-7.4,95.7,5.45M,0.29
201108월,3.25,78.94,"19,100","25,550","15,600","377,213,582","17,146,072","7,379,233,380,750","335,419,699,125",-2.7,-2.8,8.0,23.0,2.6,-4.4,88.81,8.28M,-7.2
201109월,3.25,88.13,"21,350","21,900","17,000","279,111,657","13,955,583","5,679,510,775,440","283,975,538,772",1.0,0.9,11.9,27.7,6.0,-0.6,79.2,6.45M,-10.82
201110월,3.25,84.42,"22,850","24,150","20,000","175,458,647","8,772,932","3,907,321,465,400","195,366,073,270",5.3,5.2,14.5,29.2,8.3,4.0,93.19,6.57M,17.66
201111월,3.25,79.13,"22,950","24,850","21,500","220,814,674","10,037,031","5,027,291,008,750","228,513,227,670",2.0,1.9,10.7,26.9,2.7,2.0,100.36,6.24M,7.69
201112월,3.25,81.93,"21,950","23,450","20,750","127,788,137","6,085,149","2,826,941,308,190","134,616,252,771",-1.0,-1.1,6.1,18.6,-1.1,1.3,98.83,4.70M,-1.52
201201월,3.25,72.25,"26,850","27,450","23,450","147,347,508","7,367,375","3,724,390,946,080","186,219,547,304",1.7,1.6,7.7,17.7,1.9,3.1,98.48,5.41M,-0.35
201202월,3.25,73.73,"30,200","30,200","25,400","186,338,369","8,873,256","5,223,851,264,100","248,754,822,100",-0.7,-0.7,5.2,13.0,0.3,2.1,107.07,5.54M,8.72
201203월,3.25,82.2,"29,250","30,550","28,800","106,528,104","5,072,767","3,164,699,841,500","150,699,992,452",-3.0,-3.0,3.3,10.6,-2.1,1.9,103.02,5.74M,-3.78
201204월,3.25,72.52,"28,050","30,300","27,050","104,581,057","5,229,053","2,971,544,455,800","148,577,222,790",-1.2,-1.2,1.5,3.1,-0.9,4.7,104.87,4.48M,1.8
201205월,3.25,80.23,"23,100","28,150","22,000","156,366,002","7,446,000","3,868,597,423,350","184,218,924,921",-0.3,-0.3,1.8,3.9,-1.0,5.0,86.53,5.81M,-17.49
201206월,3.25,82.24,"23,850","24,800","21,550","125,129,001","6,256,450","2,904,812,064,880","145,240,603,244",-0.5,-0.5,-1.3,-2.4,-2.6,5.0,84.96,5.95M,-1.81
201207월,3.00,74.69,"21,700","24,300","20,250","129,649,185","5,893,145","2,814,943,661,890","127,951,984,631",0.1,0.0,-0.9,-1.6,-2.1,4.3,88.06,5.27M,3.65
201208월,3.00,77.17,"21,200","23,100","20,950","122,153,990","5,552,454","2,709,221,443,600","123,146,429,255",-0.7,-0.7,0.5,2.6,-2.0,2.7,96.47,5.08M,9.55
201209월,3.00,84.32,"22,750","23,900","20,900","114,154,941","5,707,747","2,580,989,738,910","129,049,486,946",-3.4,-3.3,-2.2,-0.7,-4.3,0.0,92.19,4.34M,-4.44
201210월,2.75,88.11,"24,850","24,850","22,250","89,916,882","4,281,756","2,126,109,390,100","101,243,304,290",-6.5,-6.4,-6.4,-6.7,-7.0,-3.8,86.24,5.24M,-6.45
201211월,2.75,87.23,"24,400","26,600","24,400","108,484,747","4,931,125","2,773,808,981,750","126,082,226,443",-6.6,-6.6,-7.9,-10.6,-6.9,-3.8,88.91,5.17M,3.1
201212월,2.75,81.82,"25,750","26,650","24,400","80,286,983","4,460,388","2,069,281,014,710","114,960,056,373",-7.2,-7.2,-9.0,-11.3,-8.1,-5.5,91.82,3.59M,3.27
201301월,2.75,76.2,"24,400","27,100","24,200","106,833,025","4,856,047","2,737,175,474,030","124,417,067,001",-8.1,-8.1,-10.6,-12.1,-10.4,-7.0,97.49,4.38M,6.18
201302월,2.75,73.77,"26,500","26,600","23,700","67,893,582","3,573,346","1,729,534,664,170","91,028,140,219",-5.6,-5.5,-8.6,-9.9,-8.3,-4.9,92.05,4.12M,-5.58
201303월,2.75,86.82,"28,750","29,500","26,000","90,828,794","4,541,440","2,573,447,265,700","128,672,363,285",-5.9,-5.9,-10.8,-14.3,-9.4,-5.2,97.23,4.03M,5.63
201304월,2.75,81.75,"29,900","29,900","27,800","86,134,339","3,915,197","2,485,143,106,950","112,961,050,316",-5.7,-5.7,-9.7,-12.1,-9.3,-4.5,93.46,5.43M,-3.88
201305월,2.50,93.42,"32,200","32,200","28,550","99,765,241","4,750,726","3,047,127,493,080","145,101,309,194",-5.8,-5.8,-9.7,-10.5,-9.9,-6.4,91.97,5.87M,-1.59
201306월,2.50,88.18,"31,200","32,650","29,500","92,187,155","4,851,956","2,879,298,818,820","151,542,043,096",-2.0,-1.9,-4.3,-3.0,-5.6,-3.9,96.56,4.92M,4.99
201307월,2.50,91.17,"27,200","31,550","27,000","159,346,763","6,928,120","4,533,363,438,420","197,102,758,192",-1.6,-1.5,-4.3,-3.7,-5.4,-2.3,105.03,5.38M,8.77
201308월,2.50,94.86,"28,250","29,150","26,200","107,295,962","5,109,332","2,980,566,654,200","141,931,745,438",-2.2,-2.1,-5.3,-5.8,-5.5,-2.6,107.65,5.30M,2.49
201309월,2.50,102.85,"30,250","30,550","27,100","111,131,402","6,173,967","3,205,376,048,060","178,076,447,114",-4.7,-4.7,-8.1,-8.2,-8.7,-5.5,102.33,4.58M,-4.94
201310월,2.50,101.29,"31,950","34,600","29,950","129,308,718","6,157,558","4,236,190,811,000","201,723,371,952",-4.5,-4.5,-7.3,-6.5,-8.6,-5.3,96.38,5.14M,-5.81
