,수출물가,- 농림수산품,- 공업제품,수입물가,- 원자재,- 중간재,- 최종재
200603월,-9.3,-9.9,-9.3,0.0,22.6,-8.0,-7.0
200604월,-9.8,-11.4,-9.8,0.2,21.7,-7.4,-8.6
200605월,-7.2,-8.5,-7.2,4.4,28.2,-3.3,-7.4
200606월,-6.2,-14.4,-6.2,3.8,20.3,-1.7,-6.1
200607월,-8.3,-16.1,-8.3,2.5,17.8,-2.6,-7.4
200608월,-5.4,-3.7,-5.4,3.4,14.8,-0.2,-5.7
200609월,-7.0,-9.7,-6.9,-1.6,2.9,-2.4,-7.4
200610월,-8.6,-11.2,-8.6,-2.3,0.7,-2.2,-8.5
200611월,-8.5,-8.9,-8.5,-1.7,2.7,-2.1,-8.5
200612월,-7.5,-2.2,-7.6,-0.6,2.7,-0.3,-7.6
200701월,-5.7,0.6,-5.7,-1.4,-6.6,2.6,-4.4
200702월,-4.2,3.5,-4.2,1.6,-2.4,5.1,-2.6
200703월,-3.3,6.6,-3.4,4.5,1.3,8.1,-1.6
200704월,-1.9,3.9,-1.9,4.2,0.6,7.8,-0.7
200705월,-1.4,2.5,-1.5,2.8,-0.5,6.1,-1.7
200706월,-2.7,2.5,-2.8,1.6,-0.5,4.0,-2.4
200707월,-2.6,13.3,-2.7,0.1,-0.8,1.6,-2.9
200708월,-3.4,1.6,-3.4,-0.7,-2.2,0.6,-1.9
200709월,-2.6,5.9,-2.7,5.2,12.9,2.3,-0.5
200710월,-2.5,11.0,-2.6,7.5,20.5,2.4,-0.7
200711월,1.8,15.4,1.7,13.7,32.0,6.4,2.5
200712월,3.4,14.0,3.4,15.5,33.4,8.2,4.8
200801월,5.8,16.9,5.7,21.2,48.7,10.6,6.1
200802월,7.5,16.4,7.5,22.2,49.4,11.8,6.6
200803월,13.4,27.0,13.3,28.0,56.4,16.8,11.6
200804월,15.7,21.4,15.7,31.3,58.6,20.4,13.2
200805월,23.9,29.4,23.9,44.6,83.6,28.8,18.5
200806월,25.2,35.5,25.1,48.9,92.6,31.3,17.6
200807월,25.1,29.3,25.1,50.6,89.9,34.8,17.9
200808월,21.9,25.3,21.9,42.6,73.2,30.9,16.2
200809월,27.4,31.1,27.3,42.6,59.1,36.9,24.1
200810월,38.6,45.4,38.6,47.1,47.2,47.3,46.0
200811월,31.5,31.0,31.5,32.0,15.6,39.3,48.3
200812월,25.0,15.8,25.1,22.4,0.4,31.8,45.6
200901월,18.6,16.7,18.6,16.7,-3.5,24.7,41.1
200902월,22.9,21.8,22.9,18.0,-5.5,27.6,47.1
200903월,17.4,9.9,17.5,10.6,-10.7,18.8,39.6
200904월,7.7,5.5,7.7,-1.8,-21.8,5.8,29.1
200905월,-4.1,-0.3,-4.1,-13.9,-32.4,-6.4,18.1
200906월,-3.3,9.0,-3.4,-11.9,-29.0,-4.6,19.9
200907월,-2.7,15.2,-2.8,-12.9,-32.2,-3.9,21.6
200908월,-1.1,14.4,-1.2,-7.0,-21.9,-0.9,18.4
200909월,-7.2,1.2,-7.2,-10.9,-22.5,-7.2,10.0
200910월,-16.5,-14.9,-16.5,-15.3,-16.9,-16.2,-8.0
200911월,-13.4,-5.1,-13.4,-7.5,2.3,-12.2,-11.6
200912월,-8.6,5.0,-8.7,-1.4,15.2,-7.6,-11.2
201001월,-6.2,-4.1,-6.3,-0.1,16.2,-5.9,-12.4
201002월,-9.5,-7.8,-9.5,-3.6,12.4,-9.1,-15.7
201003월,-11.3,-0.1,-11.4,-4.0,12.0,-9.3,-17.3
201004월,-5.3,16.0,-5.5,5.0,25.0,-0.9,-12.4
201005월,1.6,19.2,1.5,11.3,26.6,7.2,-4.9
201006월,2.6,11.1,2.5,8.4,15.0,7.1,-2.0
201007월,1.2,5.1,1.2,8.0,17.3,5.1,-2.3
201008월,-1.7,2.0,-1.8,5.7,13.4,2.9,-2.0
201009월,-0.8,15.9,-0.9,7.7,17.5,4.4,-2.2
201010월,-0.7,19.1,-0.8,7.5,14.4,5.8,-1.7
201011월,-0.4,17.0,-0.5,7.5,12.2,7.2,-1.1
201012월,1.7,20.3,1.6,11.7,20.2,10.2,0.1
