date,종가,환율,유가종가,유가오픈,유가고가,유가저가,유가변동률,한국은행기준금리,연준기준금리,한미기준금리차이,반도체수출금액지수,SOX종가,SOX변동률,BTC종가,BTC변동률,등락.분류
2020-08-03,81800,1189.1,41.01,40.39,41.24,39.58,1.84,0.5,0.25,-0.25,173.84,2177.27,1.91,11224.4,1.42,-1
2018-03-14,90700,1065.8,60.96,60.87,61.33,60.11,0.41,1.5,1.5,0.0,187.7,1423.5,0.0,8210.6,-10.32,1
2012-12-12,26050,1077.3,86.77,85.69,87.68,85.68,1.14,2.75,0.25,-2.5,76.2,387.74,-0.32,13.7,1.03,1
2012-06-07,22550,1178.4,84.82,85.5,87.03,83.43,-0.24,3.25,0.25,-3.0,74.69,367.47,-1.37,5.6,2.38,1
2011-10-24,23900,1149.5,91.27,87.05,91.88,87.0,4.43,3.25,0.25,-3.0,84.42,384.65,3.37,2.5,-19.56,1
2012-02-23,28850,1126.3,107.83,105.95,108.74,105.45,1.46,3.25,0.25,-3.0,73.73,424.67,0.14,5.0,13.35,-1
2012-06-28,23300,1157.1,77.69,80.48,80.84,77.28,-3.14,3.25,0.25,-3.0,74.69,369.38,-0.63,6.6,0.0,1
2014-09-29,47150,1042.7,94.57,93.35,94.64,92.74,1.1,2.5,0.25,-2.25,111.07,644.23,0.14,376.8,-0.61,1
2016-11-18,42000,1174.4,45.69,44.93,45.77,44.55,0.59,1.25,0.5,-0.75,110.76,872.63,0.67,747.0,1.28,1
2019-02-27,73700,1118.3,56.94,55.95,57.39,55.72,2.59,1.75,2.5,0.75,132.76,1349.87,-1.22,3814.6,0.11,-1
2018-01-08,78200,1062.1,61.73,61.61,61.97,61.34,0.47,1.5,1.5,0.0,185.53,1335.54,0.74,14976.2,-7.71,-1
2014-09-26,45600,1042.6,93.54,92.47,93.86,92.23,1.09,2.5,0.25,-2.25,111.07,643.34,1.25,404.5,-1.9,1
2017-01-13,50300,1182.8,52.37,53.05,53.17,52.27,-1.21,1.25,0.75,-0.5,121.57,924.67,0.71,824.8,1.82,-1
2018-04-19,87900,1066.5,68.29,68.75,69.56,67.98,-0.26,1.5,1.75,0.25,187.7,1285.88,-4.31,8290.8,1.37,1
2015-01-15,49500,1079.9,46.25,48.6,51.27,46.07,-4.6,2.0,0.25,-1.75,102.6,656.51,-0.78,209.8,27.2,1
2015-01-14,48900,1081.5,48.48,46.16,48.91,45.01,5.64,2.0,0.25,-1.75,102.6,661.65,-0.59,164.9,-25.47,-1
2012-01-02,23450,1153.3,101.305,99.645,101.55,98.975,2.235,3.25,0.25,-3.0,72.25,367.265,1.03,5.2,-0.95,2
2018-04-05,82900,1057.6,63.54,63.6,64.12,63.07,0.27,1.5,1.75,0.25,187.7,1305.24,-1.04,6782.0,-0.4,1
2014-01-10,38500,1064.8,92.72,92.3,93.38,91.99,1.16,2.5,0.25,-2.25,84.98,533.7,0.42,957.8,2.22,-1
2018-05-11,86100,1075.3,70.7,71.45,71.63,70.45,-0.92,1.5,1.75,0.25,207.97,1350.46,-0.75,8408.3,-6.84,1
2011-08-04,24100,1058.6,86.63,91.94,92.59,86.04,-5.77,3.25,0.25,-3.0,78.94,357.32,-5.82,10.8,16.09,-1
