날짜,한국은행기준금리, 반도체수출금액지수,말일종가,최고가(종가),최저가(종가),거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균,수출물가,공업제품,수입물가,원자재,중간재,최종재,WTI종가,WTI거래량,WTI변동률,SOX종가,SOX변동률,삼성말일종가,삼성최고가(종가),삼성최저가(종가),삼성거래량_합계,삼성거래량_일평균,삼성거래대금_합계,삼성거래대금_일평균
201405월,2.5,93.12,"44,150","44,150","40,650","48,673,707","2,561,774","2,033,684,027,220","107,036,001,433",-8.1,-8.1,-6.8,-5.9,-8.4,-4.8,102.71,4.38M,2.98,599.59,4.1,"1,443,000","1,460,000","1,335,000","4,612,223","242,749","6,461,973,402,091","340,103,863,268"
201406월,2.5,97.72,"48,550","50,700","44,650","69,558,466","3,660,972","3,348,071,554,437","176,214,292,339",-10.5,-10.5,-8.8,-7.2,-10.5,-7.6,105.37,4.12M,2.59,635.93,6.06,"1,322,000","1,470,000","1,301,000","5,222,324","274,859","7,175,961,371,354","377,682,177,440"
201407월,2.5,92.01,"45,450","51,900","44,400","82,964,684","3,607,160","4,024,466,434,016","174,976,801,479",-9.4,-9.4,-8.6,-8.8,-9.1,-6.7,98.17,5.14M,-6.83,607.55,-4.46,"1,343,000","1,395,000","1,284,000","4,748,739","206,467","6,325,936,064,131","275,040,698,440"
201408월,2.25,99.67,"45,400","47,850","43,250","85,262,447","4,263,122","3,858,329,820,256","192,916,491,013",-8.6,-8.6,-9.9,-12.3,-9.4,-6.5,95.96,4.59M,-2.25,645.25,6.21,"1,234,000","1,317,000","1,222,000","5,113,102","255,655","6,470,572,485,169","323,528,624,258"
201409월,2.25,111.07,"46,750","47,150","41,800","60,302,294","3,173,805","2,657,950,100,595","139,892,110,558",-6.6,-6.6,-8.9,-12.6,-7.7,-4.3,91.16,5.56M,-5,638.48,-1.05,"1,184,000","1,226,000","1,150,000","4,990,536","262,660","5,937,910,426,511","312,521,601,395"
201410월,2,113.63,"47,450","47,450","41,700","64,400,467","3,066,689","2,883,304,206,174","137,300,200,294",-4.1,-4.1,-7.6,-13.1,-5.8,-1.4,80.54,7.17M,-11.65,640.86,0.37,"1,244,000","1,244,000","1,083,000","6,138,341","292,302","6,982,408,253,340","332,495,631,111"
201411월,2,110.28,"48,050","49,200","45,900","38,943,107","1,947,155","1,850,251,118,868","92,512,555,943",-2.2,-2.3,-8,-15.9,-5.1,0.3,66.15,5.85M,-17.87,685.74,7,"1,287,000","1,287,000","1,190,000","5,274,978","263,749","6,492,287,553,222","324,614,377,661"
201412월,2,110.66,"47,750","49,450","46,500","34,079,126","1,622,816","1,634,656,260,092","77,840,774,290",-4.4,-4.3,-13,-26.4,-8,0.7,53.27,6.56M,-19.47,686.87,0.16,"1,327,000","1,352,000","1,266,000","5,122,154","243,912","6,710,693,856,326","319,556,850,301"
201501월,2,100.43,"47,650","50,300","47,000","53,483,941","2,546,854","2,585,833,105,858","123,134,909,803",-8.6,-8.7,-19.4,-36.8,-13.2,-1.8,48.24,7.31M,-9.44,653.14,-4.91,"1,365,000","1,400,000","1,295,000","5,260,414","250,496","7,086,899,072,535","337,471,384,406"
201502월,2,90.55,"46,600","47,600","45,150","39,894,722","2,346,748","1,857,413,922,891","109,259,642,523",-8.1,-8.1,-17.8,-33.5,-11.9,-2.2,49.76,8.46M,3.15,714.65,9.42,"1,357,000","1,395,000","1,344,000","3,008,737","176,985","4,118,363,978,978","242,256,704,646"
201503월,1.75,102.6,"45,550","48,300","43,250","66,876,826","3,039,856","3,059,960,199,876","139,089,099,994",-6.8,-6.8,-17.1,-33.2,-10.8,-1.9,47.6,7.69M,-4.34,695.48,-2.68,"1,441,000","1,503,000","1,418,000","5,598,436","254,474","8,112,624,535,072","368,755,660,685"
201504월,1.75,98.49,"46,150","47,200","41,900","73,472,495","3,339,659","3,281,573,173,364","149,162,416,971",-6,-6,-17.1,-33.9,-10.2,-1.9,59.63,7.63M,25.27,686.29,-1.32,"1,410,000","1,490,000","1,366,000","4,965,983","225,727","7,142,279,454,911","324,649,066,132"
201505월,1.75,97.34,"51,100","51,100","45,250","48,711,522","2,706,196","2,313,887,994,996","128,549,333,055",-3.5,-3.5,-14.6,-31.3,-7.5,0,60.3,6.34M,1.12,745.41,8.61,"1,307,000","1,400,000","1,307,000","3,851,911","213,995","5,167,146,177,853","287,063,676,547"
201506월,1.5,100.95,"42,300","51,200","42,000","71,087,633","3,231,256","3,232,667,587,705","146,939,435,805",-2.2,-2.2,-14.1,-32,-6.3,1.7,59.47,6.54M,-1.38,680.54,-8.7,"1,268,000","1,341,000","1,254,000","4,777,840","217,175","6,141,937,897,992","279,178,995,363"
201507월,1.5,97.82,"37,100","42,800","34,500","105,251,231","4,576,140","4,091,080,281,190","177,873,055,704",-2,-2,-14,-33.6,-6.2,3.5,47.12,7.17M,-20.77,646.29,-5.03,"1,185,000","1,305,000","1,185,000","5,356,365","232,885","6,677,340,170,367","290,319,137,842"
201508월,1.5,104.28,"35,800","37,300","31,050","103,747,726","5,187,386","3,596,602,701,845","179,830,135,092",-1.6,-1.6,-13.6,-35.8,-5.4,6.3,49.2,8.24M,4.41,611.04,-5.45,"1,089,000","1,182,000","1,067,000","6,362,035","318,102","7,082,035,544,410","354,101,777,221"
201509월,1.5,111.77,"33,550","36,150","33,550","64,992,166","3,249,608","2,262,252,606,269","113,112,630,313",-2.1,-2.1,-13.1,-35.2,-5.5,7.1,45.09,7.97M,-8.35,602.73,-1.36,"1,134,000","1,190,000","1,085,000","5,218,699","260,935","5,887,377,447,803","294,368,872,390"
201510월,1.5,105.41,"30,700","37,550","30,700","90,745,363","4,321,208","3,104,110,377,713","147,814,779,891",-6.5,-6.5,-14.9,-34.7,-8.4,2.4,46.59,8.31M,3.33,662.52,9.92,"1,372,000","1,372,000","1,115,000","6,251,233","297,678","7,847,718,168,856","373,700,865,184"
201511월,1.5,99.06,"31,600","32,750","30,200","77,816,882","3,705,566","2,468,024,401,220","117,524,971,487",-8.6,-8.6,-15.6,-35.3,-9.6,0.5,41.65,7.88M,-10.6,677.14,2.21,"1,284,000","1,383,000","1,263,000","4,547,436","216,545","5,995,235,800,812","285,487,419,086"
201512월,1.5,91.31,"30,750","32,700","29,000","59,495,764","2,833,132","1,840,641,592,563","87,649,599,646",-6.2,-6.2,-12,-32.1,-6.4,1.9,37.04,8.70M,-11.07,663.48,-2.02,"1,260,000","1,321,000","1,254,000","4,211,376","200,542","5,392,786,432,787","256,799,353,942"
201601월,1.5,86.19,"27,300","30,750","26,600","70,670,973","3,533,549","1,989,810,372,160","99,490,518,608",-1.5,-1.6,-6.3,-28.4,-0.4,5.9,33.62,10.39M,-9.23,613.68,-7.51,"1,150,000","1,208,000","1,126,000","4,813,038","240,652","5,570,735,374,304","278,536,768,715"
201602월,1.5,78.93,"30,000","30,900","27,150","50,379,765","2,798,876","1,466,416,005,394","81,467,555,855",-2.1,-2.1,-7.4,-30.3,-1.3,6.7,33.75,11.47M,0.39,622.11,1.37,"1,178,000","1,190,000","1,130,000","3,670,039","203,891","4,276,688,965,838","237,593,831,435"
201603월,1.5,100.61,"28,150","31,950","28,150","63,266,697","2,875,759","1,898,439,108,318","86,292,686,742",-4.2,-4.2,-7.6,-26.1,-2.9,4.3,38.34,10.88M,13.6,676.89,8.81,"1,312,000","1,312,000","1,192,000","4,635,170","210,690","5,822,018,185,987","264,637,190,272"
201604월,1.5,86.95,"28,150","29,150","26,900","68,996,479","3,449,824","1,926,387,060,574","96,319,353,029",-5.2,-5.3,-7.1,-23.9,-3.1,4.1,45.92,11.62M,19.77,645.34,-4.66,"1,245,000","1,305,000","1,245,000","3,865,173","193,259","4,951,614,057,525","247,580,702,876"
201605월,1.5,93.22,"28,700","29,000","25,750","62,016,399","3,100,820","1,686,867,391,413","84,343,369,571",-4,-4,-5.1,-20.7,-1.2,5.6,49.1,11.20M,6.93,699.36,8.37,"1,292,000","1,299,000","1,248,000","5,205,395","260,270","6,665,204,601,944","333,260,230,097"
201606월,1.25,100.66,"32,400","32,400","27,600","100,900,213","4,804,772","3,056,201,162,275","145,533,388,680",-4.9,-5,-4.9,-18.5,-1.8,4.7,48.33,10.42M,-1.57,691.67,-1.1,"1,425,000","1,448,000","1,333,000","6,630,549","315,740","9,270,530,238,213","441,453,820,867"
201607월,1.25,96.49,"34,400","34,400","30,600","68,618,658","3,267,555","2,215,309,888,702","105,490,947,081",-7.4,-7.5,-7.1,-18.7,-4.6,0.6,41.6,9.34M,-13.93,766.78,10.86,"1,539,000","1,543,000","1,421,000","4,470,481","212,880","6,674,601,496,278","317,838,166,489"
201608월,1.25,107.01,"36,450","36,450","33,550","58,230,900","2,646,859","2,034,640,431,850","92,483,655,993",-9.7,-9.8,-8.4,-14.4,-7.5,-3.9,44.7,11.59M,7.45,801.48,4.53,"1,620,000","1,687,000","1,517,000","5,037,192","228,963","8,072,086,699,428","366,913,031,792"
201609월,1.25,109.03,"40,200","41,200","36,100","59,573,399","3,135,442","2,320,984,874,874","122,157,098,678",-8.3,-8.3,-7.7,-12.1,-7,-4.7,48.24,12.37M,7.92,835.6,4.26,"1,598,000","1,643,000","1,465,000","5,218,372","274,651","8,203,673,336,015","431,772,280,843"
201610월,1.25,107.3,"41,000","43,000","40,050","70,250,689","3,512,534","2,914,564,450,495","145,728,222,525",-1.4,-1.5,-0.6,2.7,-1.6,-1,46.86,10.82M,-2.86,823.52,-1.45,"1,639,000","1,706,000","1,535,000","6,909,508","345,475","11,085,672,781,209","554,283,639,060"
201611월,1.25,110.76,"42,900","43,050","39,650","57,764,657","2,625,666","2,400,359,730,281","109,107,260,467",3.5,3.4,3.6,8.7,2.7,1.4,49.44,13.50M,5.51,879.47,6.79,"1,746,000","1,746,000","1,539,000","5,105,409","232,064","8,327,008,518,603","378,500,387,209"
201612월,1.25,111.43,"44,700","46,400","44,200","47,724,187","2,272,580","2,164,604,767,507","103,076,417,500",6.6,6.5,9.2,30.8,5,-0.2,53.72,10.64M,8.66,906.47,3.07,"1,802,000","1,812,000","1,718,000","3,922,351","186,779","6,943,399,554,288","330,638,074,014"
201701월,1.25,121.57,"53,700","53,700","45,800","66,028,116","3,301,406","3,303,515,642,160","165,175,782,108",7.4,7.4,13.3,50.6,7.2,-1.5,52.81,10.11M,-1.69,944.28,4.17,"1,973,000","1,995,000","1,778,000","4,410,121","220,506","8,310,238,505,098","415,511,925,255"
201702월,1.25,123.05,"46,700","54,600","46,000","96,199,499","4,809,975","4,822,041,021,155","241,102,051,058",5.1,5.1,9.2,43,3.7,-4.9,54.01,9.09M,2.27,969.38,2.66,"1,922,000","1,978,000","1,879,000","4,770,447","238,522","9,195,736,835,553","459,786,841,778"
201703월,1.25,143.26,"50,500","51,300","46,750","92,236,147","4,192,552","4,511,262,384,363","205,057,381,107",5,5,6.8,29.7,2.8,-3.7,50.6,12.60M,-6.31,"1,011.40",4.33,"2,060,000","2,128,000","1,981,000","5,253,084","238,777","10,789,959,118,792","490,452,687,218"
201704월,1.25,136.52,"54,000","54,000","48,850","57,361,105","2,868,055","2,939,414,879,561","146,970,743,978",8.9,8.9,9.2,34.1,4.6,-1.7,49.33,9.72M,-2.51,"1,005.53",-0.58,"2,231,000","2,231,000","2,014,000","4,765,239","238,262","10,039,816,258,885","501,990,812,944"
201705월,1.25,144.04,"57,000","57,900","54,200","55,854,626","2,939,717","3,128,132,240,179","164,638,538,957",5.1,5.1,4.1,23.4,-0.1,-4,48.32,14.25M,-2.05,"1,091.42",8.54,"2,235,000","2,351,000","2,232,000","5,160,633","271,612","11,753,274,902,642","618,593,415,929"
201706월,1.25,154.33,"67,400","69,200","56,100","84,375,124","4,017,863","5,261,505,894,001","250,547,899,714",4.7,4.6,2,16.2,-1.1,-3.8,46.04,15.23M,-4.72,"1,034.91",-5.18,"2,377,000","2,415,000","2,234,000","4,626,172","220,294","10,755,057,718,128","512,145,605,625"
201707월,1.25,151.45,"66,000","73,000","64,600","84,642,480","4,030,594","5,796,417,167,262","276,019,865,108",8.1,8.1,5.5,21.4,2.3,-1.6,50.17,14.57M,8.97,"1,085.15",4.85,"2,410,000","2,560,000","2,350,000","4,444,413","211,639","10,946,902,065,698","521,281,050,748"
201708월,1.25,168.2,"68,600","68,600","61,400","79,731,292","3,624,150","5,243,503,782,868","238,341,081,039",10.8,10.8,9.1,25.2,6.4,0.6,47.23,17.17M,-5.86,"1,114.31",2.69,"2,316,000","2,450,000","2,231,000","5,361,361","243,698","12,490,201,045,944","567,736,411,179"
201709월,1.25,186.31,"82,900","86,300","68,100","94,451,167","4,497,675","7,406,941,236,780","352,711,487,466",11.2,11.1,10.8,27.2,8.5,1,51.67,12.24M,9.4,"1,171.74",5.15,"2,564,000","2,681,000","2,302,000","4,678,557","222,788","11,773,798,116,919","560,657,053,187"
201710월,1.25,182.32,"82,200","89,100","78,400","104,818,632","6,551,165","8,682,404,362,940","542,650,272,684",8.1,8.1,6.8,14.2,6.6,-0.2,54.38,11.95M,5.24,"1,275.61",8.86,"2,754,000","2,754,000","2,620,000","3,400,705","212,544","9,188,160,208,796","574,260,013,050"
201711월,1.5,183.87,"76,800","86,800","76,800","91,024,533","4,137,479","7,546,601,312,740","343,027,332,397",2.5,2.5,4,15.9,1.8,-3.1,57.4,12.53M,5.55,"1,272.55",-0.24,"2,540,000","2,861,000","2,540,000","4,620,606","210,028","12,694,003,261,320","577,000,148,242"
201712월,1.5,186.44,"76,500","80,200","74,000","79,588,034","4,188,844","6,162,919,369,801","324,364,177,358",-2,-2.1,-0.9,3.8,-1.9,-4,60.42,9.49M,5.26,"1,253.05",-1.53,"2,548,000","2,605,000","2,410,000","4,515,425","237,654","11,453,697,654,904","602,826,192,363"
201801월,1.5,185.53,"73,500","79,300","71,100","100,383,902","4,562,905","7,477,411,939,873","339,882,360,903",-3.7,-3.7,-2.4,4.1,-4.5,-5.3,64.73,12.77M,7.13,"1,361.50",8.65,"2,495,000","2,606,000","2,410,000","6,970,987","316,863","17,453,366,998,495","793,334,863,568"
201802월,1.5,171.62,"76,800","78,700","70,200","70,480,039","3,915,558","5,263,892,676,854","292,438,482,047",-1.3,-1.3,0.4,5.1,-1,-1.8,61.64,11.99M,-4.77,"1,362.02",0.04,"2,353,000","2,491,000","2,235,000","6,331,708","351,762","15,015,246,614,265","834,180,367,459"
201803월,1.5,207.76,"81,300","90,700","77,400","100,047,412","4,764,162","8,481,783,614,293","403,894,457,823",-1.4,-1.4,3.2,9.4,2.2,-1.6,64.94,12.38M,5.35,"1,328.90",-2.43,"2,461,000","2,589,000","2,260,000","5,282,296","251,538","13,044,490,550,098","621,166,216,671"
201804월,1.5,187.7,"84,500","87,900","80,300","84,452,872","4,021,565","7,042,729,657,158","335,368,078,912",-2,-2,3.7,10.9,2.8,-2.6,68.57,12.71M,5.59,"1,244.40",-6.36,"2,650,000","2,650,000","2,346,000","5,244,033","262,202","13,185,678,544,585","659,283,927,229"
201805월,1.5,207.97,"93,400","95,300","82,900","69,491,798","3,474,590","6,219,018,199,076","310,950,909,954",0.4,0.5,8.1,19.6,6.7,-2.3,67.04,15.04M,-2.23,"1,379.00",10.82,"50,700","2,650,000","49,200","321,498,280","17,861,016","16,376,188,279,721","909,788,237,762"
201806월,1.5,214.94,"85,700","91,400","83,500","69,184,335","3,641,281","6,025,328,487,527","317,122,551,975",1.4,1.5,10.9,26.3,8.8,-1.7,74.15,12.86M,10.61,"1,313.70",-4.74,"46,650","51,300","46,600","252,348,762","13,281,514","12,187,983,398,285","641,472,810,436"
201807월,1.5,197.78,"86,300","90,300","80,500","69,910,321","3,177,742","5,980,290,400,217","271,831,381,828",2.8,2.8,11.9,27,10,-0.6,68.76,10.91M,-7.27,"1,367.47",4.09,"46,250","47,450","44,900","214,539,505","9,751,796","9,910,475,098,124","450,476,140,824"
