날짜,한국은행기준금리, 반도체수출금액지수,말일종가,최고가(종가),최저가(종가),거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균,수출물가,공업제품,수입물가,원자재,중간재,최종재,WTI종가,WTI거래량,WTI변동률,SOX종가,SOX변동률,삼성말일종가,삼성최고가(종가),삼성최저가(종가),삼성거래량_합계,삼성거래량_일평균,삼성거래대금_합계,삼성거래대금_일평균
202004월,0.75,151.54,"83,700","85,800","78,400","91,942,271","4,597,114","7,587,119,131,754","379,355,956,588",-6.5,-6.5,-14.6,-40.3,-7.3,4.9,18.84,14.56M,-8.01,"1,731.24",14.61,"50,000","51,400","45,800","424,101,937","21,205,097","20,785,194,256,247","1,039,259,712,812"
202005월,0.5,170.59,"81,500","85,700","80,600","83,525,536","4,396,081","6,896,381,543,378","362,967,449,651",-8.4,-8.4,-13,-32.7,-7.9,2.4,35.49,5.91M,88.38,"1,852.49",7,"50,700","50,700","47,850","374,264,673","19,698,141","18,385,574,461,984","967,661,813,789"
202006월,0.5,173.6,"85,100","91,000","82,000","91,590,220","4,163,192","7,928,776,009,315","360,398,909,514",-5.7,-5.7,-7.4,-20.5,-4.3,2.2,39.27,7.64M,10.65,"1,996.44",7.77,"52,800","55,500","49,900","517,439,261","23,519,966","27,561,492,591,886","1,252,795,117,813"
202007월,0.5,164.17,"82,800","86,000","82,200","73,492,751","3,195,337","6,156,184,049,405","267,660,176,061",-5.3,-5.4,-8.9,-23.8,-4.9,1.9,40.27,6.79M,2.55,"2,136.41",7.01,"57,900","59,000","52,600","437,314,531","19,013,675","24,219,179,328,081","1,053,007,796,873"
202008월,0.5,173.84,"75,100","81,800","71,800","88,408,078","4,420,404","6,910,911,914,489","345,545,595,724",-6.7,-6.7,-10.5,-26.3,-5.6,-0.9,42.61,6.37M,5.81,"2,260.43",5.81,"54,000","59,000","54,000","401,697,954","20,084,898","22,960,327,096,927","1,148,016,354,846"
202009월,0.5,196.29,"84,000","84,500","75,200","85,475,318","4,070,253","6,910,784,517,067","329,084,977,003",-5.9,-5.9,-11.3,-29.1,-5.5,-0.7,40.22,6.75M,-5.61,"2,244.12",-0.72,"58,200","61,000","54,200","426,302,298","20,300,109","24,813,790,023,904","1,181,609,048,757"
202010월,0.5,175.65,"79,900","88,200","79,900","61,986,245","3,262,434","5,241,435,988,525","275,865,052,028",-6.2,-6.2,-11.2,-27.2,-6.1,-2.2,35.79,7.35M,-11.01,"2,246.15",0.09,"56,600","60,900","56,600","327,557,687","17,239,878","19,530,842,434,480","1,027,939,075,499"
202011월,0.5,174.85,"97,500","100,000","79,600","74,701,046","3,557,193","6,935,098,503,370","330,242,785,875",-4.6,-4.6,-10.3,-24.4,-5.3,-3.3,45.34,7.03M,26.68,"2,663.49",18.58,"66,700","68,200","57,400","496,431,342","23,639,588","31,689,333,453,847","1,509,015,878,755"
202012월,0.5,192.79,"118,500","120,500","100,500","96,632,113","4,601,529","11,098,693,851,192","528,509,231,009",-4.7,-4.7,-9.9,-20.8,-5.7,-4.7,48.52,6.21M,7.01,"2,795.50",4.96,"81,000","81,000","67,800","529,998,852","25,238,041","39,087,626,343,589","1,861,315,540,171"
202101월,0.5,177.56,"122,500","138,000","122,500","127,672,304","6,383,615","16,645,892,658,918","832,294,632,946",-1.9,-1.9,-5.8,-13.8,-1.9,-3.5,52.2,7.21M,7.58,"2,887.08",3.28,"82,000","91,000","82,000","765,471,247","38,273,562","66,588,164,494,174","3,329,408,224,709"
202102월,0.5,171.96,"141,500","148,500","125,000","101,827,542","5,657,086","13,584,840,566,904","754,713,364,828",0.6,0.7,-0.3,0.1,1.7,-4,61.5,7.60M,17.82,"3,067.62",6.25,"82,500","85,300","81,600","432,953,240","24,052,958","36,020,443,268,993","2,001,135,737,166"
202103월,0.5,195.37,"132,500","147,000","132,000","105,431,089","4,792,322","14,580,173,098,648","662,735,140,848",5.9,6,9,27.8,8,-4.8,59.16,9.79M,-3.8,"3,124.94",1.87,"81,400","84,000","80,900","387,612,356","17,618,743","31,876,803,021,604","1,448,945,591,891"
202104월,0.5,200.03,"128,000","144,000","128,000","75,564,371","3,434,744","10,319,925,063,620","469,087,502,892",10.6,10.7,15,51.3,11.3,-4.6,63.48,384.49K,7.3,"3,108.99",-0.51,"81,500","86,000","81,500","372,938,171","16,951,735","31,169,716,082,524","1,416,805,276,478"
